"anon_id","state","origin","county","year","month","type","inj_level","condition","gear","fine","infraction_type"
"ID_161412","CA","commercial","San Diego",2000,2,"Gray Whale",8,"alive","gillnet",1,1
"ID_154424","CA","commercial","Orange",2000,3,"Gray Whale",8,"alive","gillnet",1,1
"ID_723843","CA","commercial","Los Angeles",2000,3,"Gray Whale",7,"alive","gillnet",0,0
"ID_174361","CA","commercial","Los Angeles",2000,3,"Gray Whale",10,"dead","gillnet",1,1
"ID_146207","CA","commercial","Santa Barbara",2000,4,"Gray Whale",10,"dead","trap",1,1
"ID_509955","CA","commercial","Santa Cruz",2000,6,"Gray Whale",5,"alive","gillnet",0,0
"ID_685892","CA","commercial","Monterey",2000,7,"Humpback Whale",3,"alive","gillnet",0,0
"ID_959667","CA","commercial","San Luis Obispo",2000,8,"Humpback Whale",3,"alive","gillnet",0,0
"ID_726545","CA","commercial","Monterey",2000,11,"Humpback Whale",10,"dead","line_buoys",1,1
"ID_686328","CA","commercial","Marin",2001,9,"Humpback Whale",3,"alive","trap",0,0
"ID_789059","CA","commercial","Santa Barbara",2002,4,"Gray Whale",3,"alive","gillnet",0,0
"ID_421502","CA","commercial","Los Angeles",2002,5,"Gray Whale",3,"alive","gillnet",0,0
"ID_941220","WA","commercial","Grays Harbor",2002,8,"Gray Whale",10,"dead","net",1,1
"ID_349761","CA","commercial","San Luis Obispo",2003,1,"Gray Whale",3,"alive","slack _lines",0,0
"ID_865799","CA","commercial","Orange",2003,3,"Gray Whale",3,"alive","gillnet",0,0
"ID_285657","CA","commercial","Monterey",2003,3,"Humpback Whale",3,"alive","trap",0,0
"ID_113609","OR","commercial","Tillamook",2003,4,"Gray Whale",10,"dead","slack _lines",1,1
"ID_598845","WA","commercial",NA,2003,5,"Gray Whale",3,"alive","gillnet",0,0
"ID_783918","CA","commercial","Santa Barbara",2003,5,"Humpback Whale",3,"alive","trap",0,0
"ID_491481","WA","commercial","Grays Harbor",2003,7,"Gray Whale",10,"dead","gillnet",1,1
"ID_621507","CA","commercial","San Francisco",2003,8,"Humpback Whale",3,"alive","trap",0,0
"ID_338549","CA","commercial","Humboldt",2003,11,"Humpback Whale",9,"alive","trap",1,1
"ID_206092","CA","commercial",NA,2003,11,"Humpback Whale",9,"alive","trap",1,1
"ID_843620","CA","commercial","San Diego",2004,1,"Gray Whale",2,"alive","gillnet",0,0
"ID_348033","CA","commercial","San Mateo",2004,3,"Gray Whale",2,"alive","gillnet",0,0
"ID_607825","OR","commercial","Tillamook",2004,4,"Gray Whale",2,"alive","gillnet",0,0
"ID_242295","WA","commercial","Grays Harbor",2004,5,"Gray Whale",10,"dead","gillnet",1,2
"ID_526928","CA","commercial","Monterey",2004,5,"Humpback Whale",4,"alive","trap",0,0
"ID_426553","WA","commercial","Grays Harbor",2004,5,"Gray Whale",4,"alive","gillnet",0,0
"ID_202661","CA","commercial","San Diego",2004,8,"Gray Whale",4,"alive","line_buoys",0,0
"ID_440097","CA","commercial","San Luis Obispo",2004,8,"Humpback Whale",4,"alive","net",0,0
"ID_350882","CA","commercial","San Diego",2004,11,"Humpback Whale",4,"alive","drift_gillnet",0,0
"ID_443444","CA","commercial","San Diego",2005,1,"Gray Whale",4,"alive","drift_gillnet",0,0
"ID_174742","CA","commercial","Santa Barbara",2005,1,"Unidentified",5,"alive","line_buoys",0,0
"ID_459097","OR","commercial","Lincoln",2005,2,"Gray Whale",5,"alive","slack _lines",0,0
"ID_736967","CA","commercial","Los Angeles",2005,2,"Gray Whale",5,"alive","line_buoys",0,0
"ID_386752","WA","commercial","Grays Harbor",2005,4,"Gray Whale",5,"alive","line_buoys",0,0
"ID_100102","OR","commercial","Coos",2005,7,"Gray Whale",10,"dead","line_buoys",1,2
"ID_306956","CA","commercial","Santa Barbara",2005,8,"Humpback Whale",5,"alive","line_buoys",0,0
"ID_732136","WA","commercial","Clallam",2005,8,"Gray Whale",7,"alive","line_buoys",1,2
"ID_923371","CA","commercial","Monterey",2005,9,"Humpback Whale",7,"alive","trap",1,2
